Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5068963,129,SHA,KMG,2011-12-28,08:20:00,140,158,[F,Y],27,3
Relation:couple,coflycnt
3610269,50204428,3
6865053,95586445,2
22997707,33352971,5
9462001,22933945,2
34262642,95586443,2
882959,882960,7
34262642,95586445,2
6865053,95586443,2
1450797,5174653,1
3368937,92989469,2
95586443,95586445,2
6865053,34262642,2
80840146,95586445,2
80840146,95586443,2
3368937,92989470,2
17186453,17578237,6
6865053,80840146,2
4936832,6621472,9
1145747,2494102,13
92989469,92989470,2
34262642,80840146,2
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
96015860,3,4-D,42,0,1,1,4,4
34262642,3,17-F,46,1,0,0,17,6
96015857,3,7-A,18,1,0,1,7,1
92269958,3,9-B,131,0,0,1,9,2
91929238,3,22-D,99,0,1,0,22,4
2214812,3,15-D,34,0,1,1,15,4
94504379,3,24-D,103,0,1,0,24,4
3610269,3,10-C,102,0,1,1,10,3
96015851,3,8-F,7,1,0,1,8,6
17186453,3,7-F,15,1,0,1,7,6
Passenger:pid,flycnt,window,road,part1,historyRate
1412369,96,0.42523175,0.47968978,0.68668365,0.5314462103372999
24470915,19,0.51360816,0.43346363,0.57824838,0.5519143796385981
3610269,132,0.34897909,0.63775468,0.72277886,0.7388032266176662
2503515,126,0.32079449,0.61351246,0.62100679,0.4280578360778904
963662,101,0.39064315,0.58596307,0.6821003,0.4785505108175745
5174653,87,0.36880413,0.49304733,0.66999996,0.6985584851742676
1145747,76,0.33915204,0.47848737,0.68612897,0.6847827161421078
3368937,64,0.27103895,0.70398098,0.52325511,0.734976849633852
1125524,53,0.32375169,0.58142233,0.69288832,0.4453345432927136
32154319,50,0.38647881,0.54677606,0.51601529,0.5568976755188015
2494102,45,0.42776132,0.47710893,0.57233602,0.7444998323531218
15877454,44,0.35369065,0.54054427,0.54379308,0.4468187043463533
1450797,35,0.46920246,0.41762099,0.53555679,0.761711079591438
6621472,35,0.4597472,0.36115873,0.54361558,0.6940927930676757
882959,34,0.25561252,0.65808302,0.60234326,0.7660944092765027
15267057,32,0.28219232,0.7071293,0.5415718,0.6089732460386235
20314976,32,0.38955453,0.50348997,0.52710754,0.5228217522214669
17578237,30,0.44596219,0.46815217,0.58707577,0.7521723623110348
4936832,29,0.50240314,0.31072861,0.57196021,0.6985603101754208
3188539,27,0.54025835,0.37206697,0.5728904,0.5480650764686492
132588,25,0.39989427,0.4108538,0.43326998,0.5112428661313564
22933945,25,0.44084337,0.33382985,0.63574803,0.7567647223926217
882960,23,0.2610729,0.47371125,0.650644,0.8026871092598162
17699751,22,0.35318267,0.64316881,0.53622645,0.4752959811396055
985205,20,0.32773837,0.53016973,0.56988537,0.586417474289767
50204428,19,0.50042462,0.32727855,0.59569097,0.6962321627924497
17186453,16,0.3463107,0.43363139,0.68767506,0.7298992615472715
28004703,15,0.29825124,0.62238139,0.40385017,0.35833431950147676
7819837,14,0.5644536,0.34981743,0.47767949,0.43151577680894104
22997707,13,0.60023153,0.25023538,0.71208388,0.6548565120651824
28747928,12,0.48631185,0.40494636,0.51153165,0.5384511225307427
55579817,12,0.65208906,0.34101072,0.51675767,0.5899720241941082
2214812,11,0.54818738,0.36789656,0.54355502,0.4497254678440652
6809220,10,0.70585001,0.2462707,0.55773568,0.35142982311329574
17194525,10,0.56231141,0.23759173,0.62834859,0.34367628857512467
32216001,10,0.76703781,0.23296219,0.58624697,0.3297051460306508
4551817,9,0.3892017,0.40367261,0.51386547,0.483575155320924
24598134,9,0.39836085,0.54940754,0.55696559,0.5687211187388443
33046847,9,0.40185258,0.49440673,0.34551871,0.4726578373004192
33352971,9,0.43189898,0.23108685,0.50994551,0.7958794709946426
40019608,9,0.47533578,0.51031077,0.52706581,0.47926718501802434
65508533,9,0.37733626,0.36120626,0.41028601,0.510519082641044
23503274,8,0.34116226,0.50508142,0.60235453,0.5798330298999992
6865053,7,0.28202277,0.28403828,0.74130082,0.515515661716889
9148499,7,0.26107013,0.73892987,0.60126567,0.3039264618646047
11942684,6,0.60160166,0.31771892,0.40370619,0.6246578284262754
46839838,6,0.49770302,0.46785128,0.74264657,0.5767515055165489
63085708,6,0.41559678,0.32644144,0.59088141,0.4856136866844044
85685276,6,0.62442458,0.31294271,0.5017252,0.5955587343155331
12405092,5,0.58044398,0.40044773,0.55507934,0.48186659630450734
28255429,5,0.33911893,0.39953136,0.551045,0.45226536585289323
34262642,5,0.40006116,0.25120622,0.60070217,0.6380364735405231
11461155,4,0.3285397,0.42311594,0.76772374,0.3624824775956452
18038035,4,0.07987906,0.46350354,0.67455882,0.5252208241512666
25957674,4,0.36661467,0.31585982,0.41503191,0.4698641468240147
35267635,4,0.32492417,0.67507583,0.53117418,0.5944972494959497
58832753,4,0.2519685,0.7480315,0.99528426,0.3896539210720288
85583845,4,0.90653831,0.09346167,0.76677454,0.8452267395520611
2942566,3,0.25781864,0.74218136,0.49403909,0.3272784665477779
9462001,3,0.39492315,0.60507685,0.91781813,0.6898496723941032
44244129,3,0.66259211,0.33740789,0.58291686,0.40782464473751145
80840146,3,0.096201994,0.66878599,0.66878599,0.556224961429415
15328136,2,0.56984818,0.43015182,0.43015182,0.47258982289305496
21149845,2,0.57527733,0.13732111,0.86267889,0.7303684483625892
33266614,2,0.18925454,0.18925454,0.6641289,0.3851307245610568
92269958,2,0.70620435,0.25729927,0.29379562,0.4045583922743726
92989469,2,0.46019107,0.53980893,0.53980893,0.730095535
92989470,2,0.54617834,0.45382166,0.54617834,0.72691083
95586443,2,0.076097317,0.56335849,0.56335849,0.6352629436094435
95586445,2,0.07280428,0.43674985,0.56325012,0.6547070343124661
132581,1,0.18404908,0.81595093,0.18404908,0.5055224818506043
5187539,1,0.031496063,0.031496063,0.96850395,0.44024294581351253
6858463,1,0.031847134,0.96815288,0.96815288,0.44043216733845914
12631069,1,0.875,0.125,0.875,0.4846117967977923
24711358,1,0.29007635,0.70992368,0.29007635,0.39664065182695996
35320466,1,0.98282444,0.017175572,0.98282444,0.9828244359999991
38810689,1,0.70472443,0.2952756,0.70472443,0.3998720512998889
60753548,1,0.30891719,0.69108278,0.30891719,0.6910827999999996
60895450,1,0.890625,0.109375,0.109375,0.47810005049658544
69406117,1,0.20700637,0.79299361,0.79299361,0.341585397027516
79083917,1,0.91735536,0.082644626,0.082644626,0.08264463066666661
91929238,1,0.25477707,0.74522293,0.25477707,0.74522293
94504379,1,0.2992126,0.2992126,0.70078743,0.4023004706812614
19810853,0,-1.0,-1.0,-1.0,-1.0
95821048,0,-1.0,-1.0,-1.0,-1.0
95821049,0,-1.0,-1.0,-1.0,-1.0
96015815,0,-1.0,-1.0,-1.0,-1.0
96015816,0,-1.0,-1.0,-1.0,-1.0
96015817,0,-1.0,-1.0,-1.0,-1.0
96015818,0,-1.0,-1.0,-1.0,-1.0
96015819,0,-1.0,-1.0,-1.0,-1.0
96015820,0,-1.0,-1.0,-1.0,-1.0
96015821,0,-1.0,-1.0,-1.0,-1.0
96015822,0,-1.0,-1.0,-1.0,-1.0
96015823,0,-1.0,-1.0,-1.0,-1.0
96015824,0,-1.0,-1.0,-1.0,-1.0
96015825,0,-1.0,-1.0,-1.0,-1.0
96015826,0,-1.0,-1.0,-1.0,-1.0
96015827,0,-1.0,-1.0,-1.0,-1.0
96015828,0,-1.0,-1.0,-1.0,-1.0
96015829,0,-1.0,-1.0,-1.0,-1.0
