Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5067025,419,HAK,WUH,2011-12-27,22:50:00,151,158,[F,Y],35,11
Relation:couple,coflycnt
95992662,3,20-B,4,0,0,1,20,2
77416048,3,16-B,16,0,0,1,16,2
95710434,3,22-C,28,0,1,1,22,3
22622798,3,16-A,15,1,0,1,16,1
95710439,3,22-K,26,0,0,1,22,5
58728399,3,35-C,117,0,1,0,35,3
95672406,3,25-A,45,1,0,0,25,1
95672407,3,16-C,38,0,1,1,16,3
94877412,3,11-L,131,1,0,1,11,6
33441408,3,31-C,63,0,1,0,31,3
95710460,3,26-K,50,0,0,0,26,5
39393005,3,26-B,47,0,0,0,26,2
74925804,3,24-C,120,0,1,0,24,3
95710466,3,25-L,67,1,0,0,25,6
95710451,3,14-C,83,0,1,1,14,3
95710455,3,28-A,68,1,0,0,28,1
95710453,3,30-C,58,0,1,0,30,3
66108644,3,15-B,77,0,0,1,15,2
95710482,3,34-L,104,1,0,0,34,6
26917169,3,17-L,19,1,0,1,17,6
95710476,3,34-C,101,0,1,0,34,3
95710480,3,32-A,107,1,0,0,32,1
46771257,3,31-J,64,0,1,0,31,4
95772486,3,18-A,91,1,0,1,18,1
3993162,3,11-A,140,1,0,1,11,1
43418805,3,15-L,121,1,0,1,15,6
2132903,3,24-K,36,0,0,0,24,5
13076889,3,33-A,84,1,0,0,33,1
4636837,3,35-K,148,0,0,0,35,5
85056751,1,2-A,150,1,0,1,2,1
95992648,3,13-L,96,1,0,1,13,6
75131719,3,35-A,142,1,0,0,35,1
95992652,3,21-J,10,0,1,1,21,4
95992656,3,20-A,1,1,0,1,20,1
95992660,3,21-B,8,0,0,1,21,2
73586133,3,29-B,111,0,0,0,29,2
95710437,3,23-K,31,0,0,1,23,5
95710433,3,16-K,18,0,0,1,16,5
95710440,3,23-B,33,0,0,1,23,2
95710445,3,16-L,17,1,0,1,16,6
95672409,3,24-J,42,0,1,0,24,4
95672408,3,16-J,40,0,1,1,16,4
95688571,3,27-B,54,0,0,0,27,2
7005568,3,29-J,109,0,1,0,29,4
2992736,3,26-A,46,1,0,0,26,1
95688626,3,17-A,23,1,0,1,17,1
11072443,3,11-B,149,0,0,1,11,2
95710448,3,14-J,82,0,1,1,14,4
66916308,3,14-L,80,1,0,1,14,6
95710456,3,28-L,65,1,0,0,28,6
39909255,1,1-J,155,0,1,1,1,3
3128284,3,15-A,76,1,0,1,15,1
95710478,3,34-J,102,0,1,0,34,4
84842162,3,17-J,21,0,1,1,17,4
95992666,3,33-B,85,0,0,0,33,2
95710475,3,34-K,103,0,0,0,34,5
95710467,3,30-B,59,0,0,0,30,2
95772489,3,18-B,92,0,0,1,18,2
65438386,3,12-K,133,0,0,1,12,5
16824053,3,13-J,98,0,1,1,13,4
95992649,3,35-B,143,0,0,0,35,2
95992653,3,20-L,5,1,0,1,20,6
95992657,3,21-A,7,1,0,1,21,1
95992661,3,20-J,2,0,1,1,20,4
95992664,3,29-C,110,0,1,0,29,3
55172830,3,31-L,79,1,0,0,31,6
95710435,3,23-C,29,0,1,1,23,3
95710441,3,22-J,27,0,1,1,22,4
95710442,3,29-L,70,1,0,0,29,6
95710436,3,22-L,25,1,0,1,22,6
95672411,3,24-A,43,1,0,0,24,1
93402725,3,25-B,39,0,0,0,25,2
94877414,3,11-K,132,0,0,1,11,5
95710469,3,30-J,57,0,1,0,30,4
95992665,3,19-A,137,1,0,1,19,1
95710461,3,26-C,48,0,1,0,26,3
95702443,3,25-C,44,0,1,0,25,3
94862696,3,18-L,118,1,0,1,18,6
95710449,3,14-B,88,0,0,1,14,2
95710457,3,28-B,69,0,0,0,28,2
95710452,3,30-A,60,1,0,0,30,1
3314559,3,15-J,89,0,1,1,15,4
95992669,3,33-J,87,0,1,0,33,4
86554668,3,26-L,73,1,0,0,26,6
26917179,3,17-K,20,0,0,1,17,5
95710481,3,32-B,106,0,0,0,32,2
95710477,3,32-C,105,0,1,0,32,3
