Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
51334934,95630280,1
51334934,95630282,1
51334934,95630281,1
51334946,51334952,3
51334946,51334951,3
33359218,53096817,1
33359218,51334934,1
51334934,95630285,1
95630276,95630277,1
51334934,95630286,1
95630276,95630278,1
51334934,95630283,1
95630276,95630279,1
33359218,51334933,1
51334934,95630284,1
51334946,51334947,3
33359218,51334939,1
51334952,52634204,1
53458293,95630286,1
51334940,53096817,1
53458293,95630284,1
13163114,53096817,1
53458293,95630285,1
53096817,95630276,1
53096817,95630277,1
53096817,53458293,1
53096817,95630278,1
51334951,51334952,3
53096817,95630279,1
52634191,52634198,2
52634191,52634195,3
95630284,95630285,1
95630284,95630286,1
52634191,52634199,2
53458293,95630283,1
53458293,95630282,1
53458293,95630281,1
53458293,95630280,1
53458293,95630276,1
53458293,95630277,1
53458293,95630278,1
53458293,95630279,1
95630278,95630279,1
51334933,95630284,1
51334933,95630285,1
51334933,95630282,1
51334933,95630283,1
51334933,95630286,1
52634199,53096817,1
51334947,52634195,1
51334934,51334939,3
51334947,52634198,1
51334947,52634199,1
51334947,52634191,1
51334952,53096817,1
95630278,95630285,1
95630278,95630286,1
95630278,95630283,1
95253057,95253058,1
95630278,95630284,1
95630278,95630281,1
51334933,51334951,1
95630278,95630282,1
51334933,51334952,1
95630278,95630280,1
53096817,95630286,1
27704030,95253057,1
52634195,52634198,2
53096817,95630284,1
53096817,95630285,1
53096817,95630282,1
53096817,95630283,1
27704030,95253058,1
53096817,95630280,1
53096817,95630281,1
51334952,52634191,1
51334939,53458293,1
52634195,52634199,2
51334933,51334939,3
13163115,53458293,1
51334933,51334934,3
51334934,51334952,1
51334934,51334951,1
13163115,95630278,1
13163115,95630277,1
13163115,95630276,1
51334952,52634198,1
51334952,52634199,1
51334952,52634195,1
13163115,51334933,1
13163115,51334934,1
52634199,53458293,1
13163115,51334939,1
51334951,53458293,1
51334934,51334946,1
51334952,53458293,1
51334933,51334947,1
51334933,51334946,1
51334934,51334947,1
51334933,51334941,3
51334933,51334940,3
51334934,51334941,3
51334946,52634204,1
51334934,51334940,3
52634195,95630285,1
13163115,51334940,1
13163115,51334941,1
52634195,95630284,1
52634195,95630286,1
13163115,51334946,1
13163115,51334947,1
51334951,52634198,1
51334933,95630280,1
51334951,52634199,1
51334933,95630281,1
13163114,53458293,1
51334951,52634195,1
51334933,95630276,1
51334933,95630278,1
51334933,95630277,1
56501392,95253060,1
52634195,95630280,1
52634195,95630281,1
51334933,95630279,1
52634195,95630282,1
52634195,95630283,1
52634198,53458293,1
52634195,95630276,1
13163115,95630279,1
51334941,51334947,1
13163115,51334951,1
51334941,51334946,1
13163115,51334952,1
51334939,52634191,1
52634195,95630279,1
52634195,95630278,1
52634195,95630277,1
51334939,52634195,1
51334939,52634198,1
51334939,52634199,1
51334934,52634204,1
51334951,52634191,1
13163115,95630281,1
51334940,53458293,1
13163115,95630280,1
13163115,95630283,1
13163115,95630282,1
13163115,95630285,1
13163115,95630284,1
13163114,13163115,5
13163115,95630286,1
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
85199809,3,47-A,105,1,0,0,47,1
96060834,3,46-B,36,0,0,0,46,2
46100782,3,37-A,14,1,0,1,37,1
15401822,3,43-A,28,1,0,0,43,1
95253060,3,49-C,20,0,1,0,49,3
27704030,3,49-L,17,1,0,0,49,6
31752555,3,32-B,50,0,0,1,32,2
3118556,3,36-C,55,0,1,1,36,3
51334947,3,42-A,68,1,0,0,42,1
95630284,3,44-A,75,1,0,0,44,1
33359218,3,40-L,56,1,0,1,40,6
59345091,3,51-B,102,0,0,0,51,2
51334940,3,44-K,84,0,0,0,44,5
13163115,3,42-C,70,0,1,0,42,3
51334941,3,38-K,80,0,0,1,38,5
13163114,3,38-L,79,1,0,1,38,6
15136340,3,51-C,103,0,1,0,51,3
96060857,3,50-K,98,0,0,0,50,5
15598831,3,43-K,115,0,0,0,43,5
66318855,3,45-B,87,0,0,0,45,2
96060852,3,33-J,5,0,1,1,33,4
84824075,3,50-B,94,0,0,0,50,2
2106695,3,42-K,45,0,0,0,42,5
96060843,3,31-B,89,0,0,1,31,2
96060840,3,38-A,8,1,0,1,38,1
85848852,3,33-A,2,1,0,1,33,1
59826754,3,45-J,90,0,1,0,45,4
71393142,3,35-C,46,0,1,1,35,3
59469104,3,37-B,15,0,0,1,37,2
96060838,3,34-K,11,0,0,1,34,5
95630279,3,42-B,69,0,0,0,42,2
2059773,3,39-J,122,0,1,1,39,4
96060835,3,34-A,31,1,0,1,34,1
65975315,3,43-B,29,0,0,0,43,2
46234031,3,31-L,117,1,0,1,31,6
96060832,3,48-C,23,0,1,0,48,3
19668948,3,32-K,109,0,0,1,32,5
3118557,3,36-B,54,0,0,1,36,2
85392206,3,36-K,100,0,0,1,36,5
52634204,3,43-J,73,0,1,0,43,4
95630283,3,43-L,74,1,0,0,43,6
95630285,3,40-B,60,0,0,1,40,2
95253057,3,49-J,19,0,1,0,49,4
95630278,3,43-C,72,0,1,0,43,3
52634199,3,41-L,67,1,0,1,41,6
52634198,3,44-J,85,0,1,0,44,4
52634191,3,37-L,77,1,0,1,37,6
59779827,3,48-K,114,0,0,0,48,5
72045771,3,35-L,37,1,0,1,35,6
96060854,3,45-L,43,1,0,0,45,6
86258802,3,39-A,119,1,0,1,39,1
96060856,3,50-C,95,0,1,0,50,3
2106694,3,42-L,44,1,0,0,42,6
96060845,3,47-J,39,0,1,0,47,4
7404543,3,39-L,106,1,0,1,39,6
96060850,3,33-B,3,0,0,1,33,2
96060848,3,39-C,121,0,1,1,39,3
96060837,3,46-K,33,0,0,0,46,5
57617293,3,51-K,113,0,0,0,51,5
6598750,3,36-L,1,1,0,1,36,6
53511479,3,49-A,27,1,0,0,49,1
53096817,3,40-C,59,0,1,1,40,3
39692340,3,39-K,123,0,0,1,39,5
45478604,3,34-B,30,0,0,1,34,2
4750002,3,46-J,34,0,1,0,46,4
65666205,3,45-C,107,0,1,0,45,3
34602623,3,49-K,18,0,0,0,49,5
16881311,3,32-J,110,0,1,1,32,4
3118555,3,36-A,53,1,0,1,36,1
85392205,3,36-J,99,0,1,1,36,4
51334934,3,37-K,78,0,0,1,37,5
51334939,3,38-J,81,0,1,1,38,4
53458293,3,44-B,76,0,0,0,44,2
95253058,3,48-B,22,0,0,0,48,2
95630277,3,44-L,83,1,0,0,44,6
51334933,3,42-J,71,0,1,0,42,4
51334946,3,41-J,65,0,1,1,41,4
95630286,3,40-A,61,1,0,1,40,1
96060860,3,47-C,41,0,1,0,47,3
96060859,3,35-K,38,0,0,1,35,5
2106697,3,37-J,47,0,1,1,37,4
66318856,3,45-A,86,1,0,0,45,1
85291012,3,35-J,92,0,1,1,35,4
88695491,3,50-J,96,0,1,0,50,4
96060842,3,31-A,88,1,0,1,31,1
96060851,3,33-C,4,0,1,1,33,3
96060849,3,39-B,120,0,0,1,39,2
40844930,3,34-J,12,0,1,1,34,4
95689803,3,51-L,112,1,0,0,51,6
96060839,3,33-L,7,1,0,1,33,6
59506373,3,37-C,16,0,1,1,37,3
96060833,3,32-C,118,0,1,1,32,3
30728469,3,48-A,111,1,0,0,48,1
4443926,3,46-C,35,0,1,0,46,3
96060836,3,46-L,32,1,0,0,46,6
56501392,3,49-B,21,0,0,0,49,2
37125448,3,32-L,108,1,0,1,32,6
31752554,3,32-A,49,1,0,1,32,1
12890155,3,46-A,104,1,0,0,46,1
95630280,3,41-C,64,0,1,1,41,3
95630276,3,38-C,82,0,1,1,38,3
51334952,3,41-K,66,0,0,1,41,5
59300187,3,51-A,101,1,0,0,51,1
95630281,3,40-J,58,0,1,1,40,4
51334951,3,41-B,63,0,0,1,41,2
95630282,3,41-A,62,1,0,1,41,1
52634195,3,40-K,57,0,0,1,40,5
9284996,3,47-L,26,1,0,0,47,6
96060858,3,50-L,97,1,0,0,50,6
96060861,3,47-B,42,0,0,0,47,2
8468364,3,31-K,116,0,0,1,31,5
96060853,3,48-L,25,1,0,0,48,6
85216795,3,50-A,93,1,0,0,50,1
96060855,3,34-C,13,0,1,1,34,3
96060844,3,47-K,40,0,0,0,47,5
96060841,3,38-B,9,0,0,1,38,2
85861371,3,33-K,6,0,0,1,33,5
43028507,3,35-A,51,1,0,1,35,1
59826755,3,45-K,91,0,0,0,45,5
