Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086733,118,HAK,KHN,2011-12-30,07:40:00,160,164,[F,Y],28,3
Relation:couple,coflycnt
54541039,54541040,1
44399505,65326720,2
14809540,15358764,2
44399505,45324100,3
55625317,55625318,1
3016280,21723946,4
45324100,65326720,2
7947435,7947436,3
40641670,40641671,4
66113191,66113192,3
15575881,45324100,3
12392010,16728736,6
15575881,65326720,2
5814760,64898722,1
15575881,44399505,3
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
54541040,3,6-B,69,0,0,1,6,2
12392010,1,2-D,129,0,1,1,2,3
75861276,3,10-B,133,0,0,1,10,2
95841680,3,19-B,72,0,0,0,19,2
96207128,3,11-D,24,0,1,1,11,4
96207131,3,9-D,21,0,1,1,9,4
95841699,3,23-F,85,1,0,0,23,6
95841677,3,22-F,86,1,0,0,22,6
95841694,3,18-E,66,0,0,0,18,5
64131673,3,19-F,76,1,0,0,19,6
95841690,3,23-B,81,0,0,0,23,2
61325831,3,7-A,1,1,0,1,7,1
96207123,3,10-E,19,0,0,1,10,5
95841688,3,23-A,80,1,0,0,23,1
96207126,3,25-D,100,0,1,0,25,4
89042557,3,28-D,152,0,1,0,28,4
17420135,3,13-D,110,0,1,1,13,4
15358764,3,12-E,154,0,0,1,12,5
35794513,3,24-A,92,1,0,0,24,1
60877251,3,27-E,127,0,0,0,27,5
55625317,3,25-B,13,0,0,0,25,2
73977298,3,8-B,2,0,0,1,8,2
66408265,3,7-F,134,1,0,1,7,6
Passenger:pid,flycnt,window,road,part1,historyRate
10436409,77,0.38891876,0.57748783,0.65867674,0.6143075908209262
16728736,39,0.52206463,0.40140948,0.51827806,0.6623350405709785
791911,32,0.2021661,0.77635044,0.43233865,0.6289071697624136
1186314,24,0.59248275,0.33952019,0.65767068,0.6355215453112666
12392010,17,0.34693003,0.53966999,0.52357841,0.6740542258061182
24211025,4,0.1969922,0.66744441,0.5143832,0.3351372964430105
91377649,1,0.10429448,0.10429448,0.89570552,0.4758998010318347
3422070,56,0.37825072,0.57393068,0.67344451,0.62085747592982
26667820,35,0.46352416,0.50677228,0.39562663,0.44927573715900837
1675799,22,0.39757121,0.56101894,0.4875235,0.44015035914040934
17420135,18,0.51866424,0.37095815,0.60526395,0.4770204618165249
30253984,15,0.38980368,0.60303378,0.45869052,0.43833987682332853
3763461,9,0.55349737,0.3269909,0.71809107,0.4712362745379647
66904966,9,0.40846846,0.55345851,0.4913007,0.5499547567459906
5224116,8,0.5157885,0.33995113,0.58641052,0.46063044657452246
5235122,8,0.57433164,0.36738616,0.42431894,0.5933008048088617
14809540,8,0.37027666,0.44693184,0.41110381,0.7196582030890599
4723585,7,0.53014231,0.46985772,0.64479196,0.5210168904939075
75861276,7,0.53746372,0.46253625,0.50795329,0.501697214636815
15358764,6,0.34676144,0.39611447,0.47649699,0.7856782848353683
39027329,6,0.61457682,0.29272828,0.42122355,0.6295632520624368
66692527,6,0.5172472,0.47254869,0.57862079,0.5403215004125963
3016280,5,0.57539606,0.31681952,0.59504926,0.7772444658481894
6892373,5,0.52870035,0.40781128,0.38332149,0.49103146630294814
7947436,5,0.25642115,0.16881785,0.74357885,0.8845288351963763
21723946,5,0.32897267,0.32897267,0.67102736,0.7642876588787321
37678034,5,0.30840921,0.42533311,0.75555861,0.4237399058237017
48723934,5,0.71084106,0.28915894,0.41819331,0.5894212175913116
51075082,5,0.76560247,0.18353049,0.4123503,0.6196677712228289
4855395,4,0.55451268,0.44548732,0.46288243,0.45122442092592174
5814760,4,0.48789731,0.26359969,0.93885428,0.6018947994427396
7947435,4,0.90071219,0.099287838,0.90071219,0.9503560903333329
15038593,4,0.83043844,0.12661678,0.83043844,0.5052236416868607
